feature,mean_abs_shap,share
hour_cos,1267.58553,0.46970
hour,500.25827,0.18537
is_rush_hour,381.79298,0.14147
day_of_week,148.61980,0.05507
hour_sin,110.28585,0.04087
dow_cos,51.95132,0.01925
temp_c,51.33103,0.01902
month_cos,40.42830,0.01498
dow_sin,25.57588,0.00948
month_sin,25.01394,0.00927
is_holiday,21.19696,0.00785
clouds_all,20.87342,0.00773
month,17.66504,0.00655
weather_severity,11.40941,0.00423
rain_1h_log,5.85632,0.00217
is_precipitation,4.03879,0.00150
weather_Rain,3.99455,0.00148
is_weekend,2.47792,0.00092
weather_Snow,2.13278,0.00079
weather_Clouds,1.53656,0.00057
weather_Clear,0.95430,0.00035
is_low_visibility,0.75836,0.00028
weather_Mist,0.70089,0.00026
is_severe_weather,0.61874,0.00023
weather_Haze,0.49443,0.00018
is_freezing,0.44709,0.00017
snow_1h,0.39053,0.00014
weather_Drizzle,0.19073,0.00007
weather_Fog,0.10383,0.00004
weather_Thunderstorm,0.05557,0.00002
weather_Smoke,0.00000,0.00000
weather_Squall,0.00000,0.00000
