antecedent_text,consequent,support,confidence,lift,explanation
day=Weekend & temp=Freezing (<=0C) & time=Night (00-05),Low,0.0225,0.9511,3.8035,"During the night (00–05) at weekends with freezing temperatures, congestion is Low 95% of the time, 3.8x the overall rate of 25% (based on 914 hours)."
day=Weekday & temp=Cold (0-10C) & time=Morning peak (06-09),Severe,0.0232,0.9199,3.6803,"During the morning peak (06–09) on weekdays with cold temperatures, congestion is Severe 92% of the time, 3.7x the overall rate of 25% (based on 942 hours)."
day=Weekend & temp=Warm (>20C) & time=Afternoon peak (15-18),High,0.0165,0.9178,3.6715,"During the afternoon peak (15–18) at weekends with warm temperatures, congestion is High 92% of the time, 3.7x the overall rate of 25% (based on 670 hours)."
day=Weekend & time=Afternoon peak (15-18) & weather=Rain/Drizzle,High,0.0056,0.9113,3.6454,"During the afternoon peak (15–18) at weekends in rain/drizzle weather, congestion is High 91% of the time, 3.6x the overall rate of 25% (based on 226 hours)."
day=Weekend & time=Night (00-05) & weather=Low visibility,Low,0.0088,0.9109,3.6430,"During the night (00–05) at weekends in low visibility weather, congestion is Low 91% of the time, 3.6x the overall rate of 25% (based on 358 hours)."
day=Weekend & time=Night (00-05) & weather=Cloudy,Low,0.0168,0.9092,3.6360,"During the night (00–05) at weekends in cloudy weather, congestion is Low 91% of the time, 3.6x the overall rate of 25% (based on 681 hours)."
day=Weekday & temp=Mild (10-20C) & time=Morning peak (06-09),Severe,0.0348,0.9057,3.6235,"During the morning peak (06–09) on weekdays with mild temperatures, congestion is Severe 91% of the time, 3.6x the overall rate of 25% (based on 1,412 hours)."
day=Weekend & time=Night (00-05),Low,0.0645,0.8991,3.5955,"During the night (00–05) at weekends, congestion is Low 90% of the time, 3.6x the overall rate of 25% (based on 2,619 hours)."
day=Holiday & time=Night (00-05),Low,0.0067,0.8951,3.5795,"During the night (00–05) on public holidays, congestion is Low 90% of the time, 3.6x the overall rate of 25% (based on 273 hours)."
day=Weekday & temp=Warm (>20C) & time=Night (00-05),Low,0.0148,0.8902,3.5600,"During the night (00–05) on weekdays with warm temperatures, congestion is Low 89% of the time, 3.6x the overall rate of 25% (based on 600 hours)."
