antecedent_text,consequent,support,confidence,lift,explanation
day=Weekend & temp=Freezing (<=0C) & time=Night (00-05),Low,0.0225,0.9511,3.8035,"During the night (00–05) at weekends with freezing temperatures, congestion is Low 95% of the time, 3.8x the overall rate of 25% (based on 914 hours)."
day=Weekend & time=Night (00-05) & weather=Low visibility,Low,0.0088,0.9109,3.6430,"During the night (00–05) at weekends in low visibility weather, congestion is Low 91% of the time, 3.6x the overall rate of 25% (based on 358 hours)."
day=Weekend & time=Night (00-05) & weather=Cloudy,Low,0.0168,0.9092,3.6360,"During the night (00–05) at weekends in cloudy weather, congestion is Low 91% of the time, 3.6x the overall rate of 25% (based on 681 hours)."
day=Weekend & time=Evening (19-23) & weather=Rain/Drizzle,Medium,0.0063,0.8339,3.3354,"During the evening (19–23) at weekends in rain/drizzle weather, congestion is Medium 83% of the time, 3.3x the overall rate of 25% (based on 256 hours)."
temp=Mild (10-20C) & time=Evening (19-23) & weather=Rain/Drizzle,Medium,0.0097,0.8291,3.3164,"During the evening (19–23) in rain/drizzle weather with mild temperatures, congestion is Medium 83% of the time, 3.3x the overall rate of 25% (based on 393 hours)."
day=Holiday & time=Evening (19-23),Medium,0.0050,0.8160,3.2639,"During the evening (19–23) on public holidays, congestion is Medium 82% of the time, 3.3x the overall rate of 25% (based on 204 hours)."
day=Weekend & temp=Warm (>20C) & time=Afternoon peak (15-18),High,0.0165,0.9178,3.6715,"During the afternoon peak (15–18) at weekends with warm temperatures, congestion is High 92% of the time, 3.7x the overall rate of 25% (based on 670 hours)."
day=Weekend & time=Afternoon peak (15-18) & weather=Rain/Drizzle,High,0.0056,0.9113,3.6454,"During the afternoon peak (15–18) at weekends in rain/drizzle weather, congestion is High 91% of the time, 3.6x the overall rate of 25% (based on 226 hours)."
day=Weekend & temp=Warm (>20C) & time=Midday (10-14),High,0.0164,0.8786,3.5148,"During the midday (10–14) at weekends with warm temperatures, congestion is High 88% of the time, 3.5x the overall rate of 25% (based on 666 hours)."
day=Weekday & temp=Cold (0-10C) & time=Morning peak (06-09),Severe,0.0232,0.9199,3.6803,"During the morning peak (06–09) on weekdays with cold temperatures, congestion is Severe 92% of the time, 3.7x the overall rate of 25% (based on 942 hours)."
day=Weekday & temp=Mild (10-20C) & time=Morning peak (06-09),Severe,0.0348,0.9057,3.6235,"During the morning peak (06–09) on weekdays with mild temperatures, congestion is Severe 91% of the time, 3.6x the overall rate of 25% (based on 1,412 hours)."
day=Weekday & time=Morning peak (06-09) & weather=Low visibility,Severe,0.0173,0.8854,3.5422,"During the morning peak (06–09) on weekdays in low visibility weather, congestion is Severe 89% of the time, 3.5x the overall rate of 25% (based on 703 hours)."
