feature,mean_abs_shap,share
lag_1,1169.88917,0.49349
hour_cos,532.18919,0.22449
hour,186.77680,0.07879
is_rush_hour,136.29305,0.05749
lag_24,77.22943,0.03258
hour_sin,64.45502,0.02719
rolling_mean_24,45.51174,0.01920
lag_3,39.03567,0.01647
lag_2,37.70943,0.01591
day_of_week,17.18955,0.00725
temp_c,10.04914,0.00424
rolling_std_24,9.53924,0.00402
dow_sin,8.52708,0.00360
dow_cos,8.29499,0.00350
month_cos,5.90104,0.00249
clouds_all,4.42177,0.00187
month_sin,3.82136,0.00161
month,3.73684,0.00158
weather_severity,2.50350,0.00106
rain_1h_log,1.90268,0.00080
is_precipitation,1.19783,0.00051
is_holiday,1.11534,0.00047
weather_Snow,0.96961,0.00041
weather_Clouds,0.95232,0.00040
weather_Rain,0.29910,0.00013
weather_Clear,0.29331,0.00012
weather_Mist,0.24722,0.00010
is_severe_weather,0.21441,0.00009
is_low_visibility,0.19300,0.00008
weather_Haze,0.10467,0.00004
weather_Drizzle,0.06465,0.00003
weather_Thunderstorm,0.02094,0.00001
is_freezing,0.01771,0.00001
is_weekend,0.00000,0.00000
snow_1h,0.00000,0.00000
weather_Fog,0.00000,0.00000
weather_Smoke,0.00000,0.00000
weather_Squall,0.00000,0.00000
