feature,mean_abs_shap,share
is_low_visibility,1.00874,0.45362
hour_cos,0.49499,0.22259
weather_Thunderstorm,0.19007,0.08547
weather_severity,0.16098,0.07239
day_of_week,0.05791,0.02604
hour_sin,0.05748,0.02585
hour,0.05712,0.02569
is_rush_hour,0.04198,0.01888
dow_sin,0.03828,0.01722
weather_Rain,0.03383,0.01521
temp_c,0.02218,0.00997
month_cos,0.01201,0.00540
dow_cos,0.01191,0.00535
clouds_all,0.00912,0.00410
month_sin,0.00886,0.00399
is_holiday,0.00618,0.00278
weather_Snow,0.00605,0.00272
month,0.00532,0.00239
weather_Haze,0.00043,0.00019
weather_Mist,0.00030,0.00013
snow_1h,0.00000,0.00000
rain_1h_log,0.00000,0.00000
is_weekend,0.00000,0.00000
is_severe_weather,0.00000,0.00000
weather_Drizzle,0.00000,0.00000
weather_Clouds,0.00000,0.00000
weather_Clear,0.00000,0.00000
is_freezing,0.00000,0.00000
is_precipitation,0.00000,0.00000
weather_Fog,0.00000,0.00000
weather_Smoke,0.00000,0.00000
weather_Squall,0.00000,0.00000
